stop_ref,stop_name,longitude,latitude
1590015101,Moore Avenue,0.301934,51.477749
1590015401,Rosebery Road,0.310276,51.47638
1590015301,Rosebery Road,0.308536,51.476423
1590015501,Meesons Lane,0.311138,51.476338
1590015701,Aldi,0.31575,51.476973
1590705219,Aldi,0.315809,51.47705
1590060002,"Grays Bus Station, 2",0.320829,51.476636
1590060005,"Grays Bus Station, 5",0.320207,51.476822
1590705216,Ormiston Park Academy,0.254014,51.506112
1590014001,Chafford Hundred Station,0.287746,51.485761
1590051101,Saffron Road,0.290819,51.485581
1590051001,Saffron Road,0.291169,51.485673
1590051201,Rainbow Road Felipe Close,0.293855,51.486673
1590051301,Rainbow Road Felipe Close,0.293706,51.486568
1590050001,Rainbow Road Victory Close,0.295706,51.486529
1590050101,Rainbow Road Victory Close,0.295929,51.486659
1590051601,Mayflower Road Library Campus,0.291049,51.48298
1590051501,Mayflower Road Library Campus,0.291648,51.482852
15907075110,Hatfield Road,0.297503,51.480983
1590701501,Lancaster Road,0.298229,51.481383
15907075111,Maunder Close,0.300099,51.483749
1590051401,Maunder Close,0.300507,51.48397
1590703801,Warren Lane,0.302613,51.486106
1590049801,Medical Centre,0.303376,51.490371
1590049901,Medical Centre,0.303895,51.490023
1590049601,Cumberland Road,0.305187,51.492009
1590049401,Fenton Road,0.310106,51.492721
1590049201,The Drake Community Centre,0.312485,51.490725
1590049701,Cumberland Road,0.305385,51.492212
1590049101,Davis Road,0.313225,51.489407
1590700701,Grays End Close,0.319144,51.489937
1590049501,Fenton Road,0.309696,51.492576
1590049301,The Drake Community Centre,0.312107,51.490931
1590049001,Davis Road,0.313194,51.489066
1590016301,Grays End Close,0.319318,51.489952
1590016401,Dukes Avenue,0.320036,51.492465
1590016501,Dukes Avenue,0.320451,51.492403
1590016601,Lucas Road,0.321922,51.491024
1590016701,Lucas Road,0.322179,51.491541
1590016901,Dexter Close,0.323419,51.488728
1590016801,Dexter Close,0.32358,51.488213
1590705116,Hathaway Road Shops,0.324988,51.485882
1590017101,Ward Avenue,0.324588,51.486502
1590017301,Russell Road,0.324722,51.484323
1590017201,Russell Road,0.325214,51.483513
1590017401,Orsett Road,0.327354,51.48001
1590017501,Orsett Road,0.326999,51.480426
1590017601,Stanley Road,0.326698,51.478996
1590700101,Stanley Road,0.326425,51.479019
15906050,"Grays Bus Station, 8",0.321054,51.476769
1590060001,"Grays Bus Station, 1",0.321146,51.476605
1590060101,"Lakeside Bus Station, A",0.283548,51.490249
1590703701,Armor Road,0.259345,51.486438
1590703601,Armor Road,0.256696,51.486174
1590048301,Watts Crescent,0.249924,51.485845
1590705232,Harris Riverside Academy,0.239316,51.479087
1590000601,Linnet Way,0.244746,51.479254
1590000501,Linnet Way,0.242799,51.479507
1590000701,London Road Lindon Close,0.247612,51.478956
1590000801,London Road Lindon Close,0.250716,51.478537
1590000901,Lockyer Road,0.252925,51.478944
1590001101,Hutson Terrace,0.257909,51.478371
1590001301,Stonehouse Corner,0.261227,51.478196
1590001001,Hutson Terrace,0.257587,51.478261
1590001201,Stonehouse Corner,0.26122,51.478038
1590011301,Weston Avenue,0.268747,51.476192
1590011401,Weston Avenue,0.268999,51.47634
1590060003,"Grays Bus Station, 3",0.320544,51.476644
1590700301,Ikea,0.287251,51.479043
1590013901,West Thurrock Way,0.287886,51.477053
15906049,"Grays Bus Station, 7",0.320767,51.476793
1590019201,Bradleigh Avenue,0.331699,51.481037
1590019301,Bradleigh Avenue,0.332458,51.481237
1590019401,Palmers Avenue,0.335584,51.48238
1590019501,Palmers Avenue,0.335179,51.482343
1590019701,Whitehall Road,0.335665,51.485931
1590022801,Tennyson Avenue,0.335808,51.48788
1590019601,Whitehall Road,0.335892,51.485306
1590023001,Piggs Corner,0.337516,51.489168
1590023101,The Oak,0.341035,51.489302
1590022901,Tennyson Avenue,0.336176,51.488043
1590023201,The Oak,0.341139,51.489032
1590042601,Parkside,0.345205,51.488031
15907075121,Ridgeway,0.347266,51.486928
1590025501,Wood View,0.350061,51.486039
1590025101,USP (Palmers) College,0.351279,51.484243
1590025301,Heathland Way,0.353618,51.484628
1590042701,The Haven,0.360584,51.482005
1590046801,The Haven,0.36055,51.481898
1590029501,River View,0.362442,51.481437
1590029401,River View,0.362783,51.481637
1590029701,River View Cross Keys,0.367919,51.481803
1590029601,River View Cross Keys,0.367909,51.481606
1590029301,Gateway Academy,0.365846,51.473533
15907075103,Gateway Academy,0.366279,51.474337
1590027701,Lawrence Gardens,0.36764,51.470846
1590027601,Lawrence Gardens,0.367232,51.471025
1590027801,Wren Walk,0.368849,51.469446
15907075107,Wren Walk,0.369992,51.468233
1590027901,Gainsborough Avenue,0.369704,51.467054
1590028001,Gainsborough Avenue,0.36971,51.466325
1590028201,Cowper Avenue,0.369552,51.464962
1590028101,Cowper Avenue,0.369264,51.464958
1590028301,Brennan Road,0.368855,51.462619
1590028401,Brennan Road,0.369174,51.462937
1590026801,Civic Square,0.364867,51.461216
1590026901,Civic Square Post Office,0.365255,51.462054
1590701601,Montreal Road,0.363147,51.458589
1590026701,Toronto Road,0.360277,51.46183
1590026601,Toronto Road,0.360599,51.461653
1590705227,Calcutta Road,0.35709,51.461958
1590701801,Calcutta Road,0.356993,51.462085
1590026401,Tilbury Town Station,0.353923,51.462866
1590026301,Tilbury Town Station,0.353973,51.462721
1590026201,Russell Road,0.350315,51.464656
1590703301,Russell Road,0.350645,51.464632
1590705212,Amazon Tilbury,0.351283,51.467306
1590026101,ASDA,0.345331,51.469109
1590700201,Ikea,0.287209,51.479341
1590029801,Rigby Gardens,0.369084,51.484811
1590034001,Aluric Close,0.371625,51.481872
1590033801,Vigerons Way,0.374138,51.482289
1590029901,Cherry Walk,0.367664,51.48689
1590030001,Loewen Road,0.365723,51.48862
1590033701,Seaborough Road,0.37607,51.485371
1590033501,Claudian Way,0.373972,51.486573
1590032301,Cedar Road,0.369148,51.489945
1590032501,Godman Road,0.371699,51.490244
1590033301,Defoe Parade,0.372944,51.488202
1590033001,Morant Road,0.375076,51.490625
1590032701,Nicholas Walk,0.373118,51.49205
1590032801,Sleepers Farm Road,0.374783,51.491647
1590060106,"Lakeside Bus Station, F",0.283538,51.49034
1590021901,Crawford Avenue,0.32623,51.497252
1590021701,Crammavill Street,0.323138,51.498222
1590022101,Harty Close,0.328116,51.497782
1590022301,Fairway,0.330472,51.500199
15907075113,Grantham Way,0.320751,51.499735
1590703501,Silverwood Close,0.323843,51.50132
1590700501,Kingsman Drive,0.327398,51.50151
1590022001,Crawford Avenue,0.326386,51.497213
1590020701,Chestnut Avenue,0.328511,51.495963
1590020901,Thurrock Community Hospital,0.336516,51.495807
159007075132,Windsor Avenue,0.328199,51.495738
1590020801,Victoria Avenue,0.334434,51.495399
159007075133,Thurrock Community Hospital,0.338697,51.495637
1590703101,Kerry Road,0.345655,51.497018
1590704601,Kerry Road,0.345313,51.497097
1590700801,Jesmond Road,0.345562,51.495491
1590023901,Jesmond Road,0.345796,51.49555
1590704701,Laird Avenue,0.340947,51.494558
1590704501,Laird Avenue,0.342765,51.494621
15907075130,Laird Avenue,0.341541,51.49434
1590023701,Library,0.340202,51.492954
1590023801,Library,0.340013,51.493767
1590023601,Leisure Centre,0.340461,51.491546
1590023501,Leisure Centre,0.340931,51.490601
1590021001,Thurloe Walk,0.3269,51.490035
1590021101,Thurloe Walk,0.3266,51.489808
1590060004,"Grays Bus Station, 4",0.319697,51.476697
15907075112,Grantham Way,0.320972,51.499871
1590703401,Silverwood Close,0.324086,51.501264
1590047501,Stifford Clays Road,0.32835,51.50204
1590705234,Kingsman Drive,0.327244,51.501491
1590031101,High Road,0.354598,51.508455
1590031001,High Road,0.355159,51.508417
1590031201,Hospital High Road,0.365639,51.51237
1590031601,Orsett Hospital,0.367013,51.509857
1590031801,School Lane,0.370754,51.510042
15800673,Olive Avenue,0.631176,51.548952
15800663,Western Road,0.630218,51.545594
15800665,Thames Drive,0.630835,51.548026
15800664,Western Road,0.630333,51.545591
15800662,Marine Parade,0.629912,51.544036
15800661,Marine Parade,0.630015,51.54407
15800654,Leigh-on-Sea Station,0.64047,51.54149
15800660,Crescent Road,0.633344,51.543768
15800659,Herschell Road,0.639868,51.543362
15800658,Salisbury Road,0.644947,51.542897
15800775,Old Leigh,0.646535,51.54143
15800652,Belton Way East,0.649582,51.54273
15800773,"Leigh, The Ship",0.651479,51.540142
15800635,Grand Drive,0.662278,51.539825
15800649,Leigh Post Office,0.653559,51.542676
15800647,Leigh Broadway,0.65596,51.541551
15800634,Grand Parade,0.66512,51.539841
15800644,Leighton Avenue,0.659698,51.541583
15800636,Grand Drive,0.662341,51.539923
15800633,Grand Parade,0.665198,51.539948
15800631,Chalkwell Station,0.670651,51.538978
15800632,Chalkwell Railway Station,0.670732,51.538886
15800630,Ridgeway Gardens,0.675237,51.539719
15800629,Ridgeway Gardens,0.675047,51.539427
15800627,The Ridgeway,0.677812,51.539121
15800628,First Avenue,0.677927,51.5391
15800626,Chalkwell Shelter,0.67808,51.536803
15800625,Chalkwell Shelter,0.678045,51.536696
15800180,Westcliff Jetty,0.685342,51.535711
15800181,Westcliff Jetty,0.686398,51.535775
15800179,Palmeira Arches,0.69528,51.53452
15800682,Palmeira Arches,0.695412,51.534706
15800719,The Rose Garden,0.703679,51.533523
15800178,Westcliff Casino,0.703904,51.533315
15800177,Cliff Lift,0.711905,51.533283
15800175,Southend Pier,0.714471,51.533333
15800171,Burdett Road,0.72701,51.531707
15800176,Southend Pier,0.714351,51.53319
15800172,Kursaal,0.725798,51.531942
15800170,Eastern Esplanade Coach Park,0.72968,51.53082
15800169,Eastern Esplanade Coach Park,0.72949,51.530741
15800168,The Castle,0.733659,51.530042
15800167,The Castle,0.73319,51.53017
15800165,Marine Activities Centre,0.737028,51.529963
15800166,Marine Activities Centre,0.736604,51.529865
15800163,Lifstan Way South,0.739206,51.529975
15800164,Lifstan Way South,0.740472,51.530161
15800161,Halfway House,0.745455,51.530306
15800162,Halfway House,0.745751,51.530191
15800159,Roslin Hotel,0.74863,51.529872
15800160,Roslin Hotel,0.748149,51.530027
15800157,Thorpe Bay Corner,0.752072,51.529566
15800158,Thorpe Bay Corner,0.752323,51.529425
15800154,St Augustine's Avenue,0.758724,51.528204
15800156,The Broadway,0.756764,51.528709
15800153,St Augustine's Avenue,0.759599,51.528139
15800150,Thorpe Esplanade,0.767546,51.526036
15800058,Thorpe Esplanade,0.768749,51.5259
15800057,The Shore House,0.775522,51.524175
15800056,The Shore House,0.774948,51.524224
15800055,Ness Road,0.782057,51.527087
15800054,Ness Road,0.781924,51.527737
15800053,Campfield Road,0.783218,51.530279
15800062,Shoebury Health Centre,0.784085,51.530537
15800061,Artillery Mews,0.789195,51.530389
15800060,Artillery Mews,0.788834,51.530388
15800690,High Street,0.794335,51.529331
15800059,High Street,0.794289,51.529278
15800001,East Beach,0.797194,51.528444
1590029001,Tilbury Ferry & LIC Terminal,0.365982,51.451885
1590705222,Fortress Distribution Park,0.376628,51.459888
1590028701,Portsea Road,0.376888,51.463219
1590701701,Sydney Road,0.359954,51.459759
1590048701,Dock Road,0.357048,51.461472
1590026501,Tilbury Town Station South,0.354003,51.462172
1590060112,"Lakeside Bus Station, M",0.283255,51.490441
1590014401,Warren Terrace,0.302594,51.49369
1590014301,Warren Terrace,0.301558,51.493441
1500HARV1,The Five Bells,0.464471,51.551667
1590043801,Five Bells,0.463958,51.550455
1500NETHER2,Bells Hill Road,0.458545,51.557061
1500NETHER1,Bells Hill Road,0.459965,51.556654
1500IM467B,Hospital Subway,0.454174,51.560283
1500IM467,Hospital Subway,0.453706,51.560167
1500IM759,Hospital (Northbound),0.451913,51.559035
1500IM759B,Hospital (Southbound),0.452106,51.55913
150036024003,The Knares,0.452275,51.565493
1500NMAYNE,The Knares,0.452772,51.565078
150036024001,Ashdon Way,0.452199,51.567033
150036025003,Ashdon Way,0.452698,51.567715
150036044024,"Basildon Bus Station, L",0.459062,51.568794
150036044023,"Basildon Bus Station, K",0.458975,51.568789
1500IM201,Broadway,0.506214,51.564704
1500IM465B,Pitsea Broadway,0.505493,51.56498
150036038006,Bluehouse Farm,0.510247,51.565086
150036038007,Bluehouse Farm,0.512426,51.565354
1500PITS2,Bowers Close,0.518584,51.566067
1500PITS1,Bowers Close,0.518233,51.565994
1500PITS4,Church Road,0.523369,51.565973
1500PITS3,Church Road,0.52386,51.565972
1500PITS5,St Margaret's School,0.526879,51.566024
1500PITS6,St Margaret's School,0.527453,51.565975
1500BOWGIFF,Pound Lane,0.532543,51.566423
1500PITS7,Pound Lane,0.532478,51.56655
150041009001,Bartley Road,0.545651,51.567542
150041009002,Bartley Road,0.546014,51.567336
1500IM603,Tarpots Corner,0.549518,51.567278
1500IM464,Tarpots Corner,0.551835,51.567426
150041009007,Southwold Crescent,0.554953,51.567187
150041009006,Southwold Crescent,0.552779,51.56727
150041009008,Waverley Road,0.557575,51.566851
150041009009,Waverley Road,0.559216,51.566779
150041008001,Kents Hill Road North,0.563981,51.566055
150041009010,Kents Hill Road North,0.562452,51.566331
150041008002,Glen Road,0.571049,51.563715
150041008003,Glen Road,0.572289,51.563696
150041007001,Kenneth Road,0.577381,51.562398
1500IM227,Kenneth Road,0.576835,51.562437
150041007002,USP College,0.581076,51.561642
150041007003,USP College,0.582605,51.561635
150041007004,Warren Chase,0.586921,51.560901
150041007005,Warren Chase,0.587175,51.560806
150041007007,Shipwrights Drive North,0.593445,51.560182
150041007006,Shipwrights Drive North,0.592703,51.560324
150041007008,Cranbrook Avenue,0.596677,51.559427
1500IM318,Victoria House Corner,0.598456,51.558236
1500IM318B,Victoria House Corner,0.598558,51.558252
1500IM238,Bus Depot,0.600701,51.556873
1500IM236,The Memorial,0.602493,51.555665
150041003003,Homestead Way,0.60623,51.5539
150041003901,Morrisons,0.607483,51.554124
150041002001,Oak Road,0.613374,51.55169
150041003002,Church,0.610601,51.552642
150041002003,Broughton Road,0.618945,51.550469
150041002004,Woodfield Road,0.621252,51.550201
15800369,Tattersall Gardens,0.626653,51.549055
150041002002,Broughton Road,0.618265,51.550448
150041002005,Woodfield Road,0.622341,51.549835
15800367,Thames Drive,0.631378,51.548446
15800364,Canvey Road,0.637589,51.547848
15800370,Tattersall Gardens,0.626462,51.548988
15800368,Thames Drive,0.630206,51.548382
15800363,Burnham Road,0.644133,51.548249
15800361,West Leigh Schools,0.647639,51.54852
15800366,Medway Crescent,0.633685,51.548178
15800365,Canvey Road,0.637654,51.547711
15800359,Kingswood Chase,0.651289,51.548528
15800355,Leigh Elms,0.656349,51.547982
15800362,Burnham Road,0.642245,51.548282
15800360,West Leigh Schools,0.647618,51.548395
15800353,Iceland,0.660719,51.547712
15800352,Lord Roberts Avenue,0.665399,51.547336
15800358,Kingswood Chase,0.651885,51.548362
15800356,Leigh Elms,0.656472,51.547862
15800350,Darlinghurst Grove,0.669025,51.546938
15800348,Chalkwell Schools,0.673792,51.545823
15800345,Chalkwell Park,0.678175,51.545795
15800343,Westcliff Library,0.683708,51.545686
15800354,Iceland,0.660612,51.547615
15800351,Lord Roberts Avenue,0.664734,51.547315
15800340,Crowstone Road,0.687969,51.545058
15800349,Darlinghurst Grove,0.668244,51.546893
15800339,Westcliff Plough,0.69306,51.543583
15800335,Hamlet Court Road,0.696396,51.542175
15800346,Chalkwell Schools,0.672118,51.546059
15800344,Chalkwell Park,0.677015,51.545686
15800334,Howards Court,0.699523,51.540682
15800332,The Cricketers Inn,0.701776,51.540001
15800342,Westcliff Library,0.682189,51.545604
15800341,Crowstone Road,0.688457,51.544759
15800330,Park Tavern,0.704759,51.540436
15800338,Westcliff Plough,0.691339,51.543991
15800336,Hamlet Court Road,0.696793,51.541582
15800333,The Cricketers Inn,0.701637,51.539842
15800331,Park Tavern,0.7051,51.540356
15800741,Victoria Station Interchange,0.712311,51.541314
15800729,Victoria Station Interchange,0.711288,51.540859
15800736,Chichester Road,0.713783,51.54036
15800742,Whitegate Road,0.7141,51.53915
15800739,Whitegate Road,0.71411,51.538583
15800678,Southend Bus Station,0.715236,51.535947
15800720,"Southend Travel Centre, A",0.715637,51.535661
490019452E,Upminster Station Forecourt,0.251668,51.55863
490000242U,Upminster Station,0.250609,51.559388
490006075N,Deyncourt Gardens,0.251051,51.560741
490008487S,Ingrebourne Gardens,0.25211,51.562906
490013346S,The Fairway,0.25375,51.564853
490008487N,Ingrebourne Gardens,0.252287,51.563271
490013346N,The Fairway,0.254152,51.565385
490013925S,Tithe Barn Museum,0.254927,51.566188
490003519S,River Drive,0.256776,51.569426
490013925N,Tithe Barn Museum,0.255512,51.56722
490003519N,River Drive,0.256594,51.569825
490015789S,Wylie Veterinary Centre,0.257284,51.573571
490015789N,Wylie Veterinary Centre,0.257333,51.573966
150036001002,Lower Dunton Rd,0.391975,51.582007
150036001001,Lower Dunton Rd,0.391534,51.582133
150036005002,Hoover Drive,0.406664,51.573703
150036005001,Hoover Drive,0.407451,51.573579
150036005003,Menzies Avenue,0.403578,51.573766
150036005004,Menzies Avenue,0.40308,51.573614
150036005006,Fraser Close,0.400666,51.571631
150036005005,Fraser Close,0.400441,51.571753
1500IM506B,Rowenhall,0.404153,51.570427
1500IM506,Rowenhall,0.404838,51.570557
150036005009,Tillingham Green,0.410295,51.570598
150036005010,Tillingham Green,0.41141,51.570395
1500IM960,Wrexham Road,0.415864,51.569755
1500IM960B,Wrexham Road,0.41597,51.569851
150036005013,Police Station,0.420443,51.569831
150036005014,Police Station,0.421318,51.569732
150036020009,Laindon Station,0.424035,51.567913
1500AA112,Laindon Station,0.423829,51.567791
150036020002,Telephone Exchange,0.424307,51.56923
150036020001,Telephone Exchange,0.423537,51.569668
150036019001,Shopping Centre,0.424099,51.572633
1500LAIN1,Shopping Centre,0.422777,51.571932
1500LAIN2,Shopping Centre,0.422521,51.57281
150036019003,Albert Drive,0.429627,51.571845
1500IM44B,Tyler Avenue,0.431272,51.571028
150036019002,Albert Drive,0.428966,51.572164
1500IM44,Tyler Avenue,0.431428,51.57098
150036019005,Falstones,0.433903,51.57002
150036018005,Falstones,0.435192,51.570389
150036018007,Mynchens,0.438731,51.571791
150036018006,Mynchens,0.437889,51.5717
1500IM43,Plough & Tractor,0.443764,51.572522
150036018008,Plough & Tractor,0.443329,51.572486
150036018010,Panadown,0.446849,51.571118
150036018011,Panadown,0.447955,51.570492
150036018012,Wickhay,0.449019,51.569607
150036018013,Wickhay,0.449011,51.569463
150036019009,Hempstalls,0.450623,51.569386
150036044021,"Basildon Bus Station, H",0.458844,51.568764
40004408111A,The White Horse,-0.330045,51.23282
40004408111B,The White Horse,-0.330211,51.232597
40004408115C,Dorking Railway Station,-0.324296,51.240849
40004408050A,Brockham Lane,-0.290264,51.241436
40004408050B,Brockham Lane,-0.29234,51.241448
40004409100A,Red Cross,-0.209891,51.238481
40004409100C,High Street,-0.209799,51.237895
40004409261A,Bell Street,-0.205519,51.237083
40004409222B,Redhill Bus Station,-0.166769,51.240682
1590050901,Fleming Road,0.288737,51.487744
1590060113,"Lakeside Bus Station, N",0.282997,51.490458
2400101304,Galleon Boulevard,0.256627,51.455895
2400101264,Galleon Boulevard,0.256092,51.455842
2400A009020A,Stone Crossing,0.265542,51.451925
2400A009090A,Stone Crossing,0.265888,51.452233
2400A060760R,Asda,0.277592,51.451388
2400A009010A,Asda,0.277038,51.451195
240098192,Greenhithe Station,0.280411,51.450767
2400107374,St Clements Lakes,0.281866,51.445322
2400107376,St Clements Lakes,0.281239,51.445452
2400A070110A,Bluewater Bus Station,0.27532,51.43772
