situation_number,creation_time,participant_ref,progress,reason,planned,summary,description,validity_start,validity_end,severity,condition,advice,vehicle_mode,affected_operators,affected_lines,affected_stops,affected_places,validity_start_dt,validity_end_dt,disruption_date
27af5646-f0ca-41cb-bdfd-228a7146bb88,2025-06-23T11:46:34Z,WestofEngland,open,unknown,false,Stop closure: Charmouth Road,This stop has been closed as shelter has been damaged beyond repair. A temporary stop / flag will be attached to the telegraph pole just prior to this stop and will be served by the necessary services until further notice.,2025-06-23T11:46:00.000Z,,normal,unknown,This stop has been closed as shelter has been damaged beyond repair. A temporary stop / flag will be attached to the telegraph pole just prior to this stop and will be served by the necessary services until further notice.,bus,FBRI:First Bristol Limited | CTCO:CT Coaches | BBCL:Bath Bus Company | FBRI:First Bristol Limited,39:39 | 716:716 | A4:A4 | X39:X39,0180BAC30373:Charmouth Road,,2025-06-23 11:46:00+00:00,,2025-06-23
f1977790-376a-4c36-9e0d-f0e64a9e0866,2025-02-24T12:29:36Z,WYCA,open,roadClosed,true,"Leeds City Centre, Whitehall Road (Leeds)","Due to ongoing works on Whitehall Road in Leeds City Centre, some stops will not be served until further notice.",2025-07-24T14:50:00.000Z,,slight,unknown,"Services will not call at the following stops on Whitehall Road:

45013217 Spence Lane
45013215 Springwell Street
45013216 Springwell Street
45013214 Globe Road",bus,FLDS:First Leeds | FLDS:First Leeds | FLDS:First Leeds | FLDS:First Leeds | FLDS:First Leeds | WRAY:Arriva Yorkshire | WRAY:Arriva Yorkshire | WRAY:Arriva Yorkshire,55:55 | 55C:55C | 65:65 | 74:74 | 75:75 | 229:229 | 254:254 | 255:255,450013214:Globe Road | 450013217:Spence Lane | 450013215:Springwell Street | 450013216:Springwell Street,,2025-07-24 14:50:00+00:00,,2025-07-24
702ddd21-1ca6-4c49-bc3c-6c6f1c60fdfd,2023-09-27T13:09:31.458Z,SYMCA,open,roadClosed,false,"Football Diversions on Match days 25/26 season (Barnsley,Rotherham and Sheffield) UPDATED","On match days from approx 1hr/2hrs* before kick off until approx 1hr/2hrs* after the final whistle some services are subject to diversion affecting games involving Barnsley {Ser. 2, 27a, 28 & 32}, Rotherham United {73, 95, 137, 138 & X3}, Sheffield United (2hr closures) {18 & 252} and Sheffield Wednesday {7, 18. 31, 86, 97 & 98}
 
*2hrs before and after for a local derby.",2025-08-01T12:20:00.000Z,2026-05-18T22:59:00.000Z,unknown,unknown,"Hillsborough Stadium - Sheffield Wednesday Home Games

When Leppings Lane (only) closes:
Services 18, 31, 97 & 98 TOWARDS Hillsborough Interchange will divert along Penistone Road, then turn right along Bradfield Rd to Hillsborough Corner.
Services FROM Hillsborough Interchange will turn left onto Langsett Rd, left down Bamforth St, then left along Penistone Rd.

Additionally due to parked cars on Donovan Road, Service 98 will operate via the 97 route for the duration of a game

TO GET THERE:
Leppings Lane: Services 31 & 57 in both directions.
For Tram to Leppings Lane please use this link: https://www.travelsouthyorkshire.com/en-gb/supertram/yellow-route
Penistone Rd: Services 7, 8, 8A & 86 in both directions.",bus,FSYO:First South Yorkshire | TMTL:T M Travel | FSYO:First South Yorkshire | FSYO:First South Yorkshire,18:18 | 31:31 | 97:97 | 98:98,,,2025-08-01 12:20:00+00:00,2026-05-18 22:59:00+00:00,2025-08-01
702ddd21-1ca6-4c49-bc3c-6c6f1c60fdfd,2023-09-27T13:09:31.458Z,SYMCA,open,roadClosed,false,"Football Diversions on Match days 25/26 season (Barnsley,Rotherham and Sheffield) UPDATED","On match days from approx 1hr/2hrs* before kick off until approx 1hr/2hrs* after the final whistle some services are subject to diversion affecting games involving Barnsley {Ser. 2, 27a, 28 & 32}, Rotherham United {73, 95, 137, 138 & X3}, Sheffield United (2hr closures) {18 & 252} and Sheffield Wednesday {7, 18. 31, 86, 97 & 98}
 
*2hrs before and after for a local derby.",2025-08-01T12:20:00.000Z,2026-05-18T22:59:00.000Z,unknown,unknown,"Bramall Lane Stadium -Sheffield United & Sheffield United Women Home Games

Bramall Lane will close for a substantial period. Shoreham Street will also close sporadically between Alderson Road & Charlotte Road Roundabout.
Services 11, 18 & MAN4 will divert via Queens Road, Charlotte Road, Shoreham Street & St Mary's Road in both directions.
Service 252 will divert via Queens Road, Granville Square and St. Mary's Road in both directions.

TO GET THERE:
Shoreham Street: Services 1, 11, 24, 25 & 51.
Queens Road: Services 70/70a.

Note: If Shoreham Street is closed, then 1, 11, 18, 24, 41, 51, 252 & MAN4 services will all divert via Queens Road, Granville Square & St Mary's Road in both directions.",bus,FSYO:First South Yorkshire | TMTL:T M Travel,18:18 | 252:252,,,2025-08-01 12:20:00+00:00,2026-05-18 22:59:00+00:00,2025-08-01
702ddd21-1ca6-4c49-bc3c-6c6f1c60fdfd,2023-09-27T13:09:31.458Z,SYMCA,open,roadClosed,false,"Football Diversions on Match days 25/26 season (Barnsley,Rotherham and Sheffield) UPDATED","On match days from approx 1hr/2hrs* before kick off until approx 1hr/2hrs* after the final whistle some services are subject to diversion affecting games involving Barnsley {Ser. 2, 27a, 28 & 32}, Rotherham United {73, 95, 137, 138 & X3}, Sheffield United (2hr closures) {18 & 252} and Sheffield Wednesday {7, 18. 31, 86, 97 & 98}
 
*2hrs before and after for a local derby.",2025-08-01T12:20:00.000Z,2026-05-18T22:59:00.000Z,unknown,unknown,"New York Stadium -Rotherham United Home Games

When Main Street closes:

Services 73, 95 & X3 from Rotherham will re-divert via Bridge Street, Centenary Way & Ickles roundabout (73 & 95 services then Sheffield Road, Old Sheffield Road & Canklow Road). To Rotherham unaffected.

Services 137 and 138 towards Rotherham will turn left on Centenary Way, College Road Roundabout, then Bridge Street.
FROM Rotherham will divert via Chantry Bridge, Greasbrough Road & Centenary Way, then U turn back to Masbrough Street.

TO GET THERE:
Approx 5-10 min walk from Rotherham Interchange via Corporation Street and Main Street
Approx 5-10 walk from Rotherham Central, side of Canal, past Poolice station then onto Main Street",bus,FSYO:First South Yorkshire | FSYO:First South Yorkshire | SYRK:Stagecoach | SYRK:Stagecoach | FSYO:First South Yorkshire,73:73 | 95:95 | 137:137 | 138:138 | X3:X3,,,2025-08-01 12:20:00+00:00,2026-05-18 22:59:00+00:00,2025-08-01
702ddd21-1ca6-4c49-bc3c-6c6f1c60fdfd,2023-09-27T13:09:31.458Z,SYMCA,open,roadClosed,false,"Football Diversions on Match days 25/26 season (Barnsley,Rotherham and Sheffield) UPDATED","On match days from approx 1hr/2hrs* before kick off until approx 1hr/2hrs* after the final whistle some services are subject to diversion affecting games involving Barnsley {Ser. 2, 27a, 28 & 32}, Rotherham United {73, 95, 137, 138 & X3}, Sheffield United (2hr closures) {18 & 252} and Sheffield Wednesday {7, 18. 31, 86, 97 & 98}
 
*2hrs before and after for a local derby.",2025-08-01T12:20:00.000Z,2026-05-18T22:59:00.000Z,unknown,unknown,"Services 27b, 28 and 32, although not diverted, these will be subject to delay along Pontefract Road near Oakwell Stadium.

Several roads in the vicinity of the Football Ground are also subject to Traffic Restriction Orders before and after each game.",bus,SYRK:Stagecoach | SYRK:Stagecoach | SYRK:Stagecoach,27a:27a | 28:28 | 32:32,,,2025-08-01 12:20:00+00:00,2026-05-18 22:59:00+00:00,2025-08-01
702ddd21-1ca6-4c49-bc3c-6c6f1c60fdfd,2023-09-27T13:09:31.458Z,SYMCA,open,roadClosed,false,"Football Diversions on Match days 25/26 season (Barnsley,Rotherham and Sheffield) UPDATED","On match days from approx 1hr/2hrs* before kick off until approx 1hr/2hrs* after the final whistle some services are subject to diversion affecting games involving Barnsley {Ser. 2, 27a, 28 & 32}, Rotherham United {73, 95, 137, 138 & X3}, Sheffield United (2hr closures) {18 & 252} and Sheffield Wednesday {7, 18. 31, 86, 97 & 98}
 
*2hrs before and after for a local derby.",2025-08-01T12:20:00.000Z,2026-05-18T22:59:00.000Z,unknown,unknown,"Hillsborough Stadium

Service 86 - This diversion will be in place 1 hour before kick off until 30 minutes after full time. It will be on normal route either side of this.

Towards Low Edges
The service will follow the route as normal to the bottom of Fox Hill Crescent. After that it will turn left up Fox Hill Road and then right onto Wilcox Road. It will carry on to the lights where it will turn right onto Halifax Road, back on normal route.

Towards Chapeltown
Instead of turning left onto Fox Hill Road, the service will follow Halifax Road to the traffic lights (junction with Wilcox Road). At that point it will turn left onto Wilcox Road. At the end of Wilcox Road the service will turn right onto Fox Hill Road and follow the normal 86 route to Low Edges until it reaches the bottom of Fox Hill Crescent. 
It will then turn left onto Fox Hill Road, then finally right onto Wilcox Road - back on normal line of route.",bus,SYRK:Stagecoach,86:86,,,2025-08-01 12:20:00+00:00,2026-05-18 22:59:00+00:00,2025-08-01
702ddd21-1ca6-4c49-bc3c-6c6f1c60fdfd,2023-09-27T13:09:31.458Z,SYMCA,open,roadClosed,false,"Football Diversions on Match days 25/26 season (Barnsley,Rotherham and Sheffield) UPDATED","On match days from approx 1hr/2hrs* before kick off until approx 1hr/2hrs* after the final whistle some services are subject to diversion affecting games involving Barnsley {Ser. 2, 27a, 28 & 32}, Rotherham United {73, 95, 137, 138 & X3}, Sheffield United (2hr closures) {18 & 252} and Sheffield Wednesday {7, 18. 31, 86, 97 & 98}
 
*2hrs before and after for a local derby.",2025-08-01T12:20:00.000Z,2026-05-18T22:59:00.000Z,unknown,unknown,"Every Barnsley FC Home Game

Schwabisch Gmund Way gets closed for Barnsley FC home games.

Service 2 will divert via Harborough Hill and Eldon Street North in both directions during the times stated above on match days.",bus,SYRK:Stagecoach,2:2,370055974:Schwabish Gmund Way/Schwabish Gmund Way,,2025-08-01 12:20:00+00:00,2026-05-18 22:59:00+00:00,2025-08-01
6de2b8a5-19fe-4850-865e-508587aadc46,2025-07-31T09:58:53Z,WestofEngland,open,maintenanceWork,true,Road Closure: Little Bristol Lane,Little Bristol Lane will be closed from 18th August until 6th October 2026.,2025-08-17T23:01:00.000Z,2026-10-06T22:59:00.000Z,normal,unknown,Little Bristol Lane will be closed from 18th August until 6th October 2026.,bus,LEMB:The Big Lemon,Y8:Y8,0170SGX38442:Little Bristol Lane,,2025-08-17 23:01:00+00:00,2026-10-06 22:59:00+00:00,2025-08-17
de178bce-11a5-4a61-9897-5360b40c0e37,2025-08-23T11:34:57Z,WYCA,open,roadClosed,true,"Pudsey, Dawsons Corner (Leeds)",Dawsons Corner in Pudsey is affected by highway improvement works until Friday 1 May 2026.,2025-08-23T11:34:00.000Z,2026-05-01T22:59:00.000Z,verySevere,unknown,Possible delays to services due to temporary traffic management.,bus,FLDS:First Leeds | FLDS:First Leeds | FBRA:First Bradford | YSQU:Squarepeg | FLDS:First Leeds | TLCT:TLC | FHUD:FIRST WEST YORKSHIRE LTD | FBRA:First Bradford | FBRA:First Bradford,16:16 | 16A:16A | 72:72 | 80:80 | 91:91 | 205:205 | 508:508 | X6:X6 | X11:X11,,,2025-08-23 11:34:00+00:00,2026-05-01 22:59:00+00:00,2025-08-23
a0220993-a170-40ba-b081-3087e2bf92fd,2025-09-15T06:51:51Z,WestofEngland,open,roadworks,true,Stop closure: Pixash lane,This stop will be closed until 6 Feb 2024 for ongoing works,2025-09-15T06:51:00.000Z,2026-02-06T23:59:00.000Z,normal,unknown,This stop will be closed until 6 Feb 2024 for ongoing works,bus,BBCL:Bath Bus Company | FBRI:First Bristol Limited,A4:A4 | X39:X39,0180BAC30680:Pixash Lane | 0180BAC30681:Pixash Lane,,2025-09-15 06:51:00+00:00,2026-02-06 23:59:00+00:00,2025-09-15
7981e4c2-9c35-44c7-9424-314a39f618c0,2025-09-26T15:13:41Z,WYCA,open,roadworks,true,"Birchencliffe, Yew Tree Road (Kirklees)",Yew Tree Road closed due to roadworks until Tuesday 30 June 2026.,2025-09-26T15:13:00.000Z,2026-06-30T22:59:00.000Z,slight,unknown,Service 343 will divert via Birchington Drive & Birchington Avenue.,bus,TPEN:Team Pennine,343:343,450022787:Yew Tree Rd Halifax Road | 450022788:Yew Tree Rd Halifax Road,,2025-09-26 15:13:00+00:00,2026-06-30 22:59:00+00:00,2025-09-26
baf058ed-617e-4281-9206-38211625277f,2025-10-06T14:05:53Z,TfGM,open,repairWork,true,"Fairfax Road, Prestwich - Road Closure","Due to works taking place, Fairfax Road is closed and services are operating on a diverted route on weekdays only. The closure will also take place on Saturday 15, Sunday 16, Saturday 22 and Sunday 23 November.",2025-10-12T23:00:00.000Z,2026-07-31T22:59:00.000Z,normal,unknown,"The 94 service is diverting via Bury New Road, St Mary's Road, Rectory Lane and Heywood Road. The 90 service will divert via St Anns Road, Bury New Road and St Marys Road. Services will only divert on weekdays.",bus,BNSM:Bee Network | BNSM:Bee Network,90:90 | 94:94,1800NC42351:Longfield Centre | 1800NC10221:Longfield Centre | 1800NC42361:Red Lion | 1800NC42181:Red Lion | 1800NC42161:St Mary's Park,,2025-10-12 23:00:00+00:00,2026-07-31 22:59:00+00:00,2025-10-12
baf058ed-617e-4281-9206-38211625277f,2025-10-06T14:05:53Z,TfGM,open,repairWork,true,"Fairfax Road, Prestwich - Road Closure","Due to works taking place, Fairfax Road is closed and services are operating on a diverted route on weekdays only. The closure will also take place on Saturday 15, Sunday 16, Saturday 22 and Sunday 23 November.",2025-10-12T23:00:00.000Z,2026-07-31T22:59:00.000Z,normal,unknown,"Services heading to Prestwich will diver St Marys Road, Bury New Road to Testo terminus and back down St Marys Road.",bus,BNDB:Bee Network,66:66,,,2025-10-12 23:00:00+00:00,2026-07-31 22:59:00+00:00,2025-10-12
e2c38f8d-c4c4-4143-bc45-e496e0894096,2025-10-17T12:47:31Z,WestofEngland,open,roadworks,true,Road Closure: Alveston Hill,Alveston Hill will be partially closed 20 Oct 2025 - 27 Feb 2026,2025-10-17T12:47:00.000Z,2026-02-27T00:00:00.000Z,normal,unknown,Between 8pm and 6am 27 Oct 2025 - 19 Jan 2026. the Y2C will be unable to use Alveston Hill southbound and divert as per the Northbound Route.,bus,VITR:VIA Transportation,Y2C:Y2C,0170SGP90923:Leisure Centre,,2025-10-17 12:47:00+00:00,2026-02-27 00:00:00+00:00,2025-10-17
5771e84c-9257-4006-b2fd-b80b7e0085b0,2025-10-21T06:29:34Z,WYCA,open,roadworks,false,"Stourton, Pontefract Road (Leeds)",Pontefract Road is affected by temporary lights between Queen Street and Arla Foods.,2025-10-21T06:29:00.000Z,,slight,unknown,Services diverting via Wakefield Road in both directions,bus,WRAY:Arriva Yorkshire | WRAY:Arriva Yorkshire | WRAY:Arriva Yorkshire,140:140 | 141:141 | 168:168,450025871:Arla Foods | 450025872:Arla Foods | 450010626:Haigh Park Road | 450023400:Haigh Park Road | 450010627:Intermezzo Drive | 450010641:Intermezzo Drive | 450023438:Royal Mail | 450023439:Royal Mail,,2025-10-21 06:29:00+00:00,,2025-10-21
da4b5a73-60c4-4d94-9993-b5dd0e59df68,2025-10-20T13:38:58Z,WestofEngland,open,roadworks,true,Stop closure: The Leisure Centre & The Ship,"The Leisure Centre & The Ship stops will be closed 27 Oct 2025 - Mid Feb 2026 (estimated)
The Leisure Centre & Ship stops towards Thornbury will be closed 24/7, The southbound stops will be closed 20-00 - 0600 from Mon to Sat for the duration of the closure",2025-10-27T00:00:00.000Z,2026-02-14T00:00:00.000Z,normal,unknown,"The Leisure Centre & The Ship stops will be closed 27 Oct 2025 - Mid Feb 2026 (estimated)
The Leisure Centre & Ship stops towards Thornbury will be closed 24/7, The southbound stops will be closed 2000 - 0600 Mon to Sat for the duration of the closure",bus,EUTX:Eurocoaches (Bristol) | TYSW:Taylors Travel | FBRI:First Bristol Limited,918:918 | CS7:CS7 | T1:T1,0170SGP90924:Leisure Centre | 0170SGP90923:Leisure Centre | 0170SGP90919:The Ship | 0170SGP90922:The Ship,,2025-10-27 00:00:00+00:00,2026-02-14 00:00:00+00:00,2025-10-27
862b4d56-cf1f-4561-bc8a-5fead0c2b9ae,2025-12-08T15:03:56Z,WestofEngland,open,roadworks,true,Stop closure: Wapping Wharf,The Wapping Wharf (E) stop is closed from 1 Nov 2025 until 1 Nov 2026,2025-11-01T00:00:00.000Z,2026-11-01T00:00:00.000Z,normal,unknown,The Wapping Wharf (E) stop is closed from 1 Nov 2025 until 1 Nov 2026,bus,FBRI:First Bristol Limited,m2:m2,0100053241:Wapping Wharf,,2025-11-01 00:00:00+00:00,2026-11-01 00:00:00+00:00,2025-11-01
d37f4283-a9bc-4a05-b3be-b1b0ae2d7246,2025-11-07T11:05:10Z,Merseytravel,open,emergencyEngineeringWork,true,Bushey Lane (Rainford),Arriva services 38 and 38A will not serve Bushey Lane from Wednesday 5 November 2025 until further notice.,2025-11-07T11:10:00.000Z,,normal,unknown,"Service 38/38A
• From St Helens will operate as normal route to Rainford, Church Road, then via Mossborough Road to Rainford By-Pass, then continue via Rainford By-Pass to Lodge Lane/Bushey Lane roundabout, then return via Rainford By-Pass and terminate at Rainford Road, near Bushey Lane (Stop no. 17029c).
Alternative bus stop: Church Road, near Thickwood Moss Lane.
• From Rainford will commence from Rainford Road, near Bushey Lane (stop no. 17029C) and operate as normal route to St Helens.",bus,AMSY:Arriva Merseyside | AMSY:Arriva Merseyside,38:38 | 38A:38A,2800S17055A:Alfred Street | 2800S17026B:Bushey Lane | 2800S17012A:Helen Bank Drive | 2800S17023C:Henderson Drive | 2800S17013A:Hydes Brow | 2800S17024B:Maggots Nook Road | 2800S17010B:Moss Brow | 2800S17023A:News Lane | 2800S17013B:Old Lane | 2800S17033B:Ormskirk Road | 2800S17025B:Rainford Station | 2800S17028B:Red Delph Lane | 2800S17027B:Springfield | 2800S17009A:The Avenue | 2800S17008B:Whalley Avenue,,2025-11-07 11:10:00+00:00,,2025-11-07
fa01f6e4-1c4c-4b89-bac9-c2355fe82810,2025-12-19T13:07:12Z,Cornwall,open,roadClosed,true,"Road Closure - Treloggan Road, Newquay","Road closure on Treloggan Road, Newquay",2025-11-10T00:01:00.000Z,2026-02-27T23:59:00.000Z,verySevere,unknown,"Due to ongoing works by Wales and West Utilities buses are unable to serve Treloggan Road and Treninnick Hill in Newquay.  Services will divert via the Hendra Roundabout, A392 and Trevemper Road in both directions.",bus,TFCN:Go Cornwall Bus | TFCN:Go Cornwall Bus | FCWL:First South West | FCWL:First South West | TFCN:Go Cornwall Bus | TFCN:Go Cornwall Bus | TFCN:Go Cornwall Bus | TFCN:Go Cornwall Bus | SDVN:Stagecoach,86:86 | 86:86 | 87:87 | 87:87 | 88:88 | 93:93 | 93E:93E | 277:277 | SA3:SA3,0800COC31553:Dale Road | 0800FWZ38535:Dale Road | 0800COA16608:Kew Close | 0800COC31554:Kew Close | 0800COZ06292:Near Morrisons Store | 0800COC31550:Near Morrisons Store | 0800COC31552:Polwhele Road | 0800COA15619:Polwhele Road | 0800COC31555:The Bishops School | 0800COC31556:The Bishops School,,2025-11-10 00:01:00+00:00,2026-02-27 23:59:00+00:00,2025-11-10
fa01f6e4-1c4c-4b89-bac9-c2355fe82810,2025-12-19T13:07:12Z,Cornwall,open,roadClosed,true,"Road Closure - Treloggan Road, Newquay","Road closure on Treloggan Road, Newquay",2025-11-10T00:01:00.000Z,2026-02-27T23:59:00.000Z,severe,unknown,Due to ongoing works by Wales and West Utilities service 59 is unable serve Treninnick Hill and is diverted via the A392 and Trevemper Road in both directions.,bus,TFCN:Go Cornwall Bus,59:59,,,2025-11-10 00:01:00+00:00,2026-02-27 23:59:00+00:00,2025-11-10
289217e6-6830-4718-97f9-59621a5064f2,2024-09-17T12:19:27.815Z,WYCA,open,roadworks,true,"Huddersfield Town Centre, John William Street (Kirklees)",John William Street in Huddersfield is closed is affected by works from Monday 24 November to Sunday 7 November 2027.,2025-11-24T06:00:00.000Z,2027-11-07T23:59:00.000Z,slight,unknown,"Services 254, 360, 363, 549, B10, X49 & X63 are diverting via Northumberland Street, Southgate & Castlegate.

Services will not be stopping at John William Street, stop J4 (45017201) during this period.",bus,"WRAY:Arriva Yorkshire | TPEN:Team Pennine | FHUD:First Halifax, Calder Va | FHUD:First Halifax, Calder Va | FWYO:First West Yorkshire Ltd | FHUD:First Halifax, Calder Va",254:254 | 360:360 | 363:363 | 549:549 | B10:B10 | X63:X63,450015427:John William Street | 450017201:John William Street | 450024763:John William Street,,2025-11-24 06:00:00+00:00,2027-11-07 23:59:00+00:00,2025-11-24
